Product_ID,Category,Size,Color,Price,Rating,Launch_Date,Trending_Score,Weather,Event_Type,Url_Image,Type
PROD5802,Jacket,XL,Green,1243191.0,4.63,2023-10-05,0.3,Sunny,Business Meeting,image/PROD5802.jpg,upper_body
PROD4556,Dress,L,Black,838119.83,3.19,2020-06-10,0.56,Sunny,Casual Hangout,image/PROD4556.jpg,upper_body
PROD1092,Coat,XXL,Blue,2459009.38,3.76,2020-12-11,0.29,Sunny,Business Meeting,image/PROD1092.jpg,upper_body
PROD3696,Jacket,S,Blue,941062.04,3.62,2020-06-22,0.08,Snowy,Wedding,image/PROD3696.jpg,upper_body
PROD5967,Shirt,M,Black,1793748.32,3.28,2020-09-29,0.75,Sunny,Vacation,image/PROD5967.jpg,upper_body
PROD1346,Dress,S,White,2557351.02,4.21,2020-03-02,0.04,Sunny,Vacation,image/PROD1346.jpg,upper_body
PROD4107,Suit,L,Red,534222.66,3.83,2021-08-27,0.1,Sunny,Business Meeting,image/PROD4107.jpg,upper_body
PROD1659,Skirt,L,Red,1128551.38,3.14,2022-11-03,0.15,Rainy,Business Meeting,image/PROD1659.jpg,lower_body
PROD1986,Shirt,XL,Green,854534.93,4.73,2020-01-16,0.51,Sunny,Vacation,image/PROD1986.jpg,upper_body
PROD2135,Suit,XXL,Red,2629160.85,3.53,2024-05-05,0.13,Cloudy,Vacation,image/PROD2135.jpg,upper_body
PROD1049,Jacket,L,Black,1903190.85,4.33,2021-11-15,0.56,Rainy,Vacation,image/PROD1049.jpg,upper_body
PROD5848,Shirt,M,Black,2264537.36,3.75,2020-10-07,0.86,Snowy,Vacation,image/PROD5848.jpg,upper_body
PROD1909,Coat,M,Black,2292356.33,4.9,2022-07-14,0.04,Rainy,Casual Hangout,image/PROD1909.jpg,upper_body
PROD3815,Skirt,M,Blue,1535038.7,4.48,2021-09-09,0.68,Sunny,Business Meeting,image/PROD3815.jpg,lower_body
PROD3002,Jacket,L,Green,2467951.66,4.09,2020-08-16,0.38,Rainy,Sports Event,image/PROD3002.jpg,upper_body
PROD2288,Suit,L,Black,2703206.13,4.9,2024-10-25,0.35,Rainy,Business Meeting,image/PROD2288.jpg,upper_body
PROD1602,Skirt,S,Green,991958.7,3.41,2023-09-01,0.9,Rainy,Casual Hangout,image/PROD1602.jpg,lower_body
PROD3536,Shirt,S,Black,2863956.64,4.53,2021-10-27,0.25,Sunny,Casual Hangout,image/PROD3536.jpg,upper_body
PROD5866,Shirt,XL,Black,1063543.45,3.32,2022-09-25,0.55,Cloudy,Wedding,image/PROD5866.jpg,upper_body
PROD2263,Coat,XL,Green,1503057.92,4.43,2023-10-14,0.72,Rainy,Sports Event,image/PROD2263.jpg,upper_body
PROD4740,Skirt,S,Yellow,669331.89,4.64,2022-01-09,0.78,Cloudy,Business Meeting,image/PROD4740.jpg,lower_body
PROD5601,Shirt,XXL,Green,267622.82,3.93,2023-08-15,0.55,Snowy,Vacation,image/PROD5601.jpg,upper_body
PROD4356,Suit,M,Yellow,1303637.91,3.27,2021-04-29,0.33,Sunny,Business Meeting,image/PROD4356.jpg,upper_body
PROD2017,Skirt,M,Yellow,1082082.01,3.49,2024-08-09,0.55,Rainy,Sports Event,image/PROD2017.jpg,lower_body
PROD1245,Skirt,XL,Red,1217656.15,3.44,2023-12-08,0.85,Snowy,Sports Event,image/PROD1245.jpg,lower_body
PROD4448,Dress,M,Red,192444.58,4.58,2021-03-07,0.31,Snowy,Sports Event,image/PROD4448.jpg,upper_body
PROD2871,Shirt,M,Blue,1929070.05,3.52,2020-11-26,0.59,Cloudy,Sports Event,image/PROD2871.jpg,upper_body
PROD5206,Coat,XXL,Green,1838678.45,4.27,2024-11-16,0.18,Cloudy,Wedding,image/PROD5206.jpg,upper_body
PROD2184,Suit,L,Green,1907314.36,3.37,2024-08-24,0.03,Sunny,Vacation,image/PROD2184.jpg,upper_body
PROD5722,Skirt,XXL,Blue,2049879.71,3.49,2022-09-23,0.32,Rainy,Casual Hangout,image/PROD5722.jpg,lower_body
PROD1085,Suit,L,Blue,1545287.66,4.21,2020-05-07,0.48,Rainy,Vacation,image/PROD1085.jpg,upper_body
PROD5731,Shirt,M,Red,2404849.88,4.52,2021-01-20,0.13,Snowy,Vacation,image/PROD5731.jpg,upper_body
PROD5588,Jacket,S,Blue,1341467.52,3.63,2020-05-09,0.8,Rainy,Sports Event,image/PROD5588.jpg,upper_body
PROD4953,Jacket,XXL,Red,2645681.94,3.39,2023-09-11,0.28,Snowy,Sports Event,image/PROD4953.jpg,upper_body
PROD1741,Coat,XL,Blue,1625896.35,3.56,2022-03-21,0.08,Rainy,Casual Hangout,image/PROD1741.jpg,upper_body
PROD5231,Shirt,XXL,Blue,1930099.66,4.11,2024-04-10,0.64,Sunny,Business Meeting,image/PROD5231.jpg,upper_body
PROD1126,Skirt,S,Yellow,278857.94,4.98,2020-08-03,0.85,Rainy,Casual Hangout,image/PROD1126.jpg,lower_body
PROD2671,Shirt,M,Yellow,2191879.97,4.49,2021-05-07,0.55,Rainy,Business Meeting,image/PROD2671.jpg,upper_body
PROD1503,Shirt,L,Blue,1683495.45,3.7,2022-08-03,0.06,Snowy,Casual Hangout,image/PROD1503.jpg,upper_body
PROD3651,Suit,L,Yellow,2107159.91,4.96,2023-11-03,0.15,Cloudy,Business Meeting,image/PROD3651.jpg,upper_body
PROD2926,Skirt,XXL,Black,2085428.67,3.23,2020-03-13,0.95,Snowy,Vacation,image/PROD2926.jpg,lower_body
PROD1512,Skirt,XL,White,1672887.37,4.79,2023-12-03,0.74,Snowy,Business Meeting,image/PROD1512.jpg,lower_body
PROD3997,Coat,XL,Green,165288.48,3.83,2020-12-01,0.17,Snowy,Sports Event,image/PROD3997.jpg,upper_body
PROD5774,Jacket,L,Yellow,539337.93,3.45,2024-09-09,0.05,Cloudy,Vacation,image/PROD5774.jpg,upper_body
PROD5364,Dress,XL,Blue,2936036.08,3.62,2022-08-26,0.43,Cloudy,Sports Event,image/PROD5364.jpg,upper_body
PROD5671,Coat,L,Red,528221.82,3.32,2020-05-10,0.37,Sunny,Sports Event,image/PROD5671.jpg,upper_body
PROD4186,Skirt,L,Green,2493106.01,4.28,2021-12-25,0.41,Snowy,Sports Event,image/PROD4186.jpg,lower_body
PROD2958,Jacket,XL,Red,428648.24,4.06,2021-01-18,0.62,Rainy,Vacation,image/PROD2958.jpg,upper_body
PROD3681,Coat,M,Black,1047109.25,4.68,2024-01-09,0.37,Snowy,Sports Event,image/PROD3681.jpg,upper_body
PROD5006,Coat,XXL,Blue,814396.62,4.95,2021-12-09,0.17,Snowy,Business Meeting,image/PROD5006.jpg,upper_body
PROD5175,Jacket,XXL,White,621097.84,4.75,2020-10-30,0.87,Sunny,Wedding,image/PROD5175.jpg,upper_body
PROD4237,Shirt,XL,Black,1956220.87,4.42,2020-03-01,0.09,Rainy,Casual Hangout,image/PROD4237.jpg,upper_body
PROD2355,Dress,L,White,799813.59,3.14,2023-01-29,0.61,Snowy,Sports Event,image/PROD2355.jpg,upper_body
PROD1492,Dress,S,Black,101660.69,4.42,2021-05-30,0.52,Rainy,Casual Hangout,image/PROD1492.jpg,upper_body
PROD4240,Shirt,L,Yellow,2122492.85,4.83,2020-12-23,0.01,Rainy,Casual Hangout,image/PROD4240.jpg,upper_body
PROD2800,Coat,XXL,Yellow,2669500.86,4.16,2020-05-03,0.94,Snowy,Vacation,image/PROD2800.jpg,upper_body
PROD4413,Dress,XL,White,715121.53,4.11,2020-09-02,0.0,Sunny,Business Meeting,image/PROD4413.jpg,upper_body
PROD2672,Skirt,L,White,1759561.87,3.1,2020-06-07,0.46,Cloudy,Sports Event,image/PROD2672.jpg,lower_body
PROD2815,Dress,S,White,954294.55,3.19,2022-04-16,0.63,Cloudy,Vacation,image/PROD2815.jpg,upper_body
PROD2205,Jacket,XXL,Blue,2668521.43,3.69,2023-02-21,0.03,Rainy,Casual Hangout,image/PROD2205.jpg,upper_body
PROD3879,Dress,M,Red,2284634.02,4.37,2021-10-13,0.83,Rainy,Vacation,image/PROD3879.jpg,upper_body
PROD3579,Suit,L,Yellow,338962.39,3.1,2020-04-22,0.01,Rainy,Vacation,image/PROD3579.jpg,upper_body
PROD4242,Dress,S,White,1042628.5,3.71,2023-03-20,0.51,Rainy,Business Meeting,image/PROD4242.jpg,upper_body
PROD2744,Skirt,S,White,1288096.97,3.24,2022-12-10,0.03,Snowy,Wedding,image/PROD2744.jpg,lower_body
PROD1782,Skirt,L,Black,2196513.95,3.66,2021-07-09,0.13,Rainy,Casual Hangout,image/PROD1782.jpg,lower_body
PROD4552,Skirt,M,Yellow,1528972.36,3.96,2023-12-18,0.85,Cloudy,Sports Event,image/PROD4552.jpg,lower_body
PROD4640,Coat,M,Green,1622916.21,4.38,2020-03-27,0.14,Rainy,Sports Event,image/PROD4640.jpg,upper_body
PROD3241,Skirt,M,Green,2765467.87,3.67,2024-06-13,0.2,Snowy,Casual Hangout,image/PROD3241.jpg,lower_body
PROD2974,Suit,XXL,Green,2704321.0,3.96,2023-01-10,0.93,Cloudy,Sports Event,image/PROD2974.jpg,upper_body
PROD1857,Suit,L,Black,1179829.73,4.52,2022-05-21,0.07,Sunny,Sports Event,image/PROD1857.jpg,upper_body
PROD4701,Coat,S,Blue,1065521.27,3.72,2022-01-30,0.31,Cloudy,Wedding,image/PROD4701.jpg,upper_body
PROD2810,Shirt,M,Red,2894069.41,4.86,2021-07-12,0.8,Sunny,Sports Event,image/PROD2810.jpg,upper_body
PROD3412,Dress,XXL,Red,760119.45,3.44,2020-02-26,0.82,Rainy,Business Meeting,image/PROD3412.jpg,upper_body
PROD5778,Shirt,L,Green,1537227.91,4.2,2021-03-10,0.39,Snowy,Vacation,image/PROD5778.jpg,upper_body
PROD5318,Shirt,XXL,Green,149439.23,3.21,2021-02-15,0.62,Rainy,Sports Event,image/PROD5318.jpg,upper_body
PROD3834,Jacket,L,Red,102940.18,3.95,2022-05-15,0.38,Cloudy,Wedding,image/PROD3834.jpg,upper_body
PROD3884,Suit,L,Blue,602728.77,3.19,2021-03-02,0.75,Rainy,Wedding,image/PROD3884.jpg,upper_body
PROD5969,Suit,L,Yellow,1131362.99,4.15,2022-11-22,0.1,Sunny,Vacation,image/PROD5969.jpg,upper_body
PROD4003,Coat,S,Green,1070007.86,3.99,2024-04-26,0.26,Sunny,Vacation,image/PROD4003.jpg,upper_body
PROD5595,Suit,L,Black,1526339.1,3.53,2021-02-18,0.35,Rainy,Business Meeting,image/PROD5595.jpg,upper_body
PROD1128,Jacket,M,White,1652765.72,4.91,2022-10-06,0.47,Cloudy,Business Meeting,image/PROD1128.jpg,upper_body
PROD1047,Jacket,XL,Blue,2489488.07,4.71,2020-07-29,0.51,Sunny,Casual Hangout,image/PROD1047.jpg,upper_body
PROD2766,Coat,XXL,Blue,1730398.53,3.55,2021-11-07,0.76,Cloudy,Business Meeting,image/PROD2766.jpg,upper_body
PROD1745,Coat,L,Red,190988.26,4.59,2023-09-25,0.1,Snowy,Casual Hangout,image/PROD1745.jpg,upper_body
PROD4905,Coat,S,White,1932480.6,3.93,2022-05-29,0.58,Snowy,Business Meeting,image/PROD4905.jpg,upper_body
PROD5873,Suit,M,Green,989328.15,3.27,2022-03-21,0.78,Rainy,Vacation,image/PROD5873.jpg,upper_body
PROD2493,Dress,S,Black,549576.5,3.52,2021-11-07,0.81,Cloudy,Casual Hangout,image/PROD2493.jpg,upper_body
PROD5514,Dress,S,Yellow,2637150.8,3.26,2022-03-04,0.86,Rainy,Vacation,image/PROD5514.jpg,upper_body
PROD5349,Jacket,S,Black,2514160.41,4.36,2022-05-30,0.38,Sunny,Casual Hangout,image/PROD5349.jpg,upper_body
PROD3676,Jacket,S,Red,1745977.16,4.86,2021-02-14,0.37,Snowy,Business Meeting,image/PROD3676.jpg,upper_body
PROD4704,Dress,L,Blue,2711448.83,4.56,2023-12-31,0.3,Snowy,Wedding,image/PROD4704.jpg,upper_body
PROD2979,Suit,XL,Red,2499761.5,3.02,2023-08-14,0.14,Rainy,Business Meeting,image/PROD2979.jpg,upper_body
PROD3754,Coat,XXL,Black,1747426.66,3.23,2024-08-01,0.54,Cloudy,Sports Event,image/PROD3754.jpg,upper_body
PROD5438,Shirt,S,Yellow,2035118.44,4.35,2020-03-29,0.75,Sunny,Wedding,image/PROD5438.jpg,upper_body
PROD1325,Dress,M,Yellow,1269199.38,3.25,2023-11-29,0.89,Sunny,Sports Event,image/PROD1325.jpg,upper_body
PROD2971,Suit,S,Green,1164957.19,4.11,2022-10-05,0.12,Sunny,Wedding,image/PROD2971.jpg,upper_body
PROD1430,Suit,XXL,Blue,2335650.71,4.18,2024-02-02,0.24,Cloudy,Sports Event,image/PROD1430.jpg,upper_body
PROD1846,Dress,S,White,238751.26,3.72,2022-01-29,0.52,Snowy,Sports Event,image/PROD1846.jpg,upper_body
PROD1473,Shirt,L,Green,665130.21,4.78,2021-12-25,0.32,Sunny,Casual Hangout,image/PROD1473.jpg,upper_body
PROD5490,Skirt,XXL,Black,952880.21,3.97,2023-10-16,0.03,Snowy,Wedding,image/PROD5490.jpg,lower_body
PROD2545,Jacket,XL,Blue,2160120.61,3.85,2022-04-24,0.96,Snowy,Casual Hangout,image/PROD2545.jpg,upper_body
PROD1856,Coat,XL,Green,2060365.17,4.35,2024-01-11,0.09,Snowy,Wedding,image/PROD1856.jpg,upper_body
PROD5034,Suit,XL,White,2164586.39,4.55,2021-08-08,0.02,Snowy,Sports Event,image/PROD5034.jpg,upper_body
PROD1825,Shirt,XL,Yellow,1101156.38,3.44,2020-12-27,0.09,Sunny,Business Meeting,image/PROD1825.jpg,upper_body
PROD4414,Jacket,L,Red,1937525.6,3.17,2020-07-01,0.27,Sunny,Business Meeting,image/PROD4414.jpg,upper_body
PROD3735,Coat,M,Yellow,2161846.11,3.69,2022-07-14,0.51,Snowy,Casual Hangout,image/PROD3735.jpg,upper_body
PROD4496,Shirt,XXL,Yellow,2631366.69,3.83,2023-08-19,0.01,Snowy,Vacation,image/PROD4496.jpg,upper_body
PROD4735,Dress,S,Green,364965.04,4.67,2024-03-11,0.02,Sunny,Casual Hangout,image/PROD4735.jpg,upper_body
PROD3927,Shirt,L,White,332786.74,4.3,2021-06-17,0.24,Rainy,Casual Hangout,image/PROD3927.jpg,upper_body
PROD1834,Skirt,XL,White,2533877.89,3.82,2020-09-10,0.16,Sunny,Business Meeting,image/PROD1834.jpg,lower_body
PROD4334,Jacket,M,Green,668282.05,3.14,2020-07-11,0.66,Cloudy,Business Meeting,image/PROD4334.jpg,upper_body
PROD4223,Shirt,S,White,1972211.61,4.52,2024-11-17,0.86,Rainy,Wedding,image/PROD4223.jpg,upper_body
PROD5252,Suit,S,Blue,121552.61,3.17,2024-01-14,0.45,Rainy,Casual Hangout,image/PROD5252.jpg,upper_body
PROD2495,Shirt,XL,Green,1534112.24,4.77,2020-10-02,0.86,Cloudy,Business Meeting,image/PROD2495.jpg,upper_body
PROD3125,Suit,XXL,Green,1644765.23,4.71,2021-07-20,0.99,Sunny,Wedding,image/PROD3125.jpg,upper_body
PROD5466,Shirt,L,White,1393643.93,4.06,2024-08-31,0.74,Snowy,Vacation,image/PROD5466.jpg,upper_body
PROD2611,Skirt,XXL,Blue,242227.35,4.54,2024-07-07,0.19,Rainy,Vacation,image/PROD2611.jpg,lower_body
PROD5935,Jacket,L,Black,317896.64,4.74,2021-06-12,0.27,Rainy,Sports Event,image/PROD5935.jpg,upper_body
PROD4817,Coat,XL,White,2664757.13,4.23,2022-05-24,0.22,Snowy,Casual Hangout,image/PROD4817.jpg,upper_body
PROD1554,Jacket,XL,Blue,2031764.34,3.04,2023-10-15,0.38,Snowy,Sports Event,image/PROD1554.jpg,upper_body
PROD3484,Jacket,L,Blue,305258.49,4.98,2024-04-13,0.85,Rainy,Sports Event,image/PROD3484.jpg,upper_body
PROD2273,Shirt,XL,Yellow,1755310.27,3.51,2022-06-18,0.62,Cloudy,Business Meeting,image/PROD2273.jpg,upper_body
PROD1065,Dress,S,White,2590547.14,3.4,2023-06-28,0.36,Sunny,Wedding,image/PROD1065.jpg,upper_body
PROD1798,Coat,S,Yellow,2390659.0,4.88,2020-01-25,0.22,Cloudy,Business Meeting,image/PROD1798.jpg,upper_body
PROD3237,Suit,XL,Yellow,2054882.88,3.09,2020-09-06,0.85,Sunny,Wedding,image/PROD3237.jpg,upper_body
PROD4793,Shirt,S,Blue,598111.85,3.72,2024-10-31,0.98,Snowy,Wedding,image/PROD4793.jpg,upper_body
PROD3722,Skirt,L,Red,878820.39,4.28,2020-07-09,0.43,Cloudy,Casual Hangout,image/PROD3722.jpg,lower_body
PROD2599,Suit,XXL,Black,688899.01,4.84,2022-07-16,0.84,Sunny,Wedding,image/PROD2599.jpg,upper_body
PROD1457,Jacket,M,Blue,437856.81,3.75,2020-03-12,0.01,Cloudy,Vacation,image/PROD1457.jpg,upper_body
PROD1006,Dress,XL,Blue,2633097.04,3.43,2024-05-13,0.25,Sunny,Business Meeting,image/PROD1006.jpg,upper_body
PROD1717,Dress,XL,White,1988977.73,3.34,2021-02-16,0.41,Snowy,Casual Hangout,image/PROD1717.jpg,upper_body
PROD2027,Jacket,L,Red,2795908.41,3.91,2022-08-08,0.4,Snowy,Sports Event,image/PROD2027.jpg,upper_body
PROD4867,Skirt,XXL,Red,2960077.37,3.51,2022-04-08,0.13,Snowy,Wedding,image/PROD4867.jpg,lower_body
PROD1564,Skirt,XXL,Black,1559201.03,3.1,2020-04-29,0.28,Snowy,Casual Hangout,image/PROD1564.jpg,lower_body
PROD1180,Shirt,L,Red,1924141.41,3.36,2024-05-07,0.45,Snowy,Vacation,image/PROD1180.jpg,upper_body
PROD3726,Jacket,XL,Red,347385.07,4.3,2021-08-04,0.66,Snowy,Wedding,image/PROD3726.jpg,upper_body
PROD2696,Suit,XL,Red,742811.7,3.7,2020-01-10,0.7,Rainy,Wedding,image/PROD2696.jpg,upper_body
PROD4304,Suit,L,Yellow,2464421.37,3.5,2023-11-26,0.32,Sunny,Business Meeting,image/PROD4304.jpg,upper_body
PROD4234,Jacket,M,Green,1294354.34,3.98,2021-01-07,0.1,Sunny,Business Meeting,image/PROD4234.jpg,upper_body
PROD4579,Skirt,XXL,Green,966929.04,3.21,2023-07-18,0.89,Cloudy,Vacation,image/PROD4579.jpg,lower_body
PROD2271,Coat,M,Yellow,1174903.46,4.91,2020-05-28,0.36,Rainy,Vacation,image/PROD2271.jpg,upper_body
PROD3983,Coat,S,Yellow,764991.52,4.65,2022-11-24,0.02,Sunny,Business Meeting,image/PROD3983.jpg,upper_body
PROD1752,Coat,L,Blue,2728830.11,3.62,2020-04-28,0.0,Rainy,Business Meeting,image/PROD1752.jpg,upper_body
PROD1962,Jacket,XXL,Green,2765203.74,4.19,2023-11-04,0.01,Cloudy,Sports Event,image/PROD1962.jpg,upper_body
