Product_ID,Category,Size,Color,Price,Rating,Launch_Date,Trending_Score,Weather,Event_Type
PROD5115,Skirt,M,Yellow,2730695.14,4.12,2024-05-31,0.97,Snowy,Business Meeting
PROD5828,Suit,M,Blue,1874358.63,3.25,2021-02-18,0.77,Sunny,Casual Hangout
PROD2897,Suit,M,Yellow,129858.47,3.93,2023-03-05,0.46,Rainy,Vacation
PROD1655,Dress,M,Red,504638.77,4.03,2023-04-26,0.02,Snowy,Casual Hangout
PROD3714,Shirt,S,Blue,973586.84,4.97,2023-02-27,0.53,Sunny,Wedding
PROD5691,Jacket,M,Blue,1118636.97,3.1,2021-08-19,0.38,Snowy,Business Meeting
PROD5772,Suit,XXL,Green,2876042.49,3.15,2023-04-20,0.14,Snowy,Wedding
PROD2262,Suit,M,Green,599117.83,3.72,2024-03-29,0.11,Sunny,Wedding
PROD5560,Jacket,S,Green,1657713.73,4.64,2023-04-28,0.45,Cloudy,Wedding
PROD5755,Dress,L,Blue,369015.13,3.58,2020-01-21,0.32,Cloudy,Casual Hangout
PROD3118,Coat,M,Yellow,698224.08,4.54,2024-03-05,0.26,Rainy,Wedding
PROD2523,Dress,XXL,Black,2231028.87,4.5,2024-03-25,0.2,Rainy,Wedding
PROD4104,Coat,XXL,Yellow,511401.49,3.62,2022-08-17,0.84,Sunny,Vacation
PROD3568,Dress,L,Yellow,2926449.71,4.66,2022-09-01,0.23,Rainy,Casual Hangout
PROD1329,Shirt,XL,Blue,2015037.07,3.45,2022-04-20,0.16,Rainy,Wedding
PROD5573,Suit,L,White,2752695.71,3.23,2020-01-16,0.21,Snowy,Casual Hangout
PROD2936,Dress,XXL,Red,2819636.58,4.88,2020-04-23,0.59,Snowy,Sports Event
PROD1502,Shirt,S,Green,2178152.14,3.11,2021-02-14,0.89,Snowy,Casual Hangout
PROD1682,Suit,L,Blue,163005.93,3.14,2021-06-28,0.02,Sunny,Wedding
PROD3347,Shirt,XXL,Black,957115.52,3.9,2024-02-24,0.4,Snowy,Sports Event
PROD3669,Jacket,XXL,Blue,1008045.05,4.49,2021-08-15,0.9,Cloudy,Vacation
PROD3147,Skirt,L,Red,899297.84,3.48,2022-03-14,0.12,Cloudy,Business Meeting
PROD1568,Skirt,XXL,Yellow,2178475.85,4.77,2023-09-04,0.92,Sunny,Wedding
PROD4020,Shirt,M,White,447842.1,3.08,2022-01-15,0.55,Snowy,Business Meeting
PROD1511,Coat,XXL,White,352314.59,3.01,2022-03-05,0.44,Snowy,Casual Hangout
PROD2562,Skirt,L,Blue,1378679.65,3.37,2024-05-31,0.69,Rainy,Wedding
PROD4273,Jacket,XL,White,1209683.54,3.25,2021-11-26,0.05,Rainy,Vacation
PROD3154,Suit,S,Red,438700.1,3.76,2022-10-07,0.27,Rainy,Casual Hangout
PROD1684,Jacket,S,Black,1056280.97,4.34,2022-07-09,0.79,Cloudy,Sports Event
PROD5802,Jacket,XL,Green,1243191.0,4.63,2023-10-05,0.3,Sunny,Business Meeting
PROD4556,Dress,L,Black,838119.83,3.19,2020-06-10,0.56,Sunny,Casual Hangout
PROD1092,Coat,XXL,Blue,2459009.38,3.76,2020-12-11,0.29,Sunny,Business Meeting
PROD3696,Jacket,S,Blue,941062.04,3.62,2020-06-22,0.08,Snowy,Wedding
PROD5967,Shirt,M,Black,1793748.32,3.28,2020-09-29,0.75,Sunny,Vacation
PROD1346,Dress,S,White,2557351.02,4.21,2020-03-02,0.04,Sunny,Vacation
PROD4107,Suit,L,Red,534222.66,3.83,2021-08-27,0.1,Sunny,Business Meeting
PROD1659,Skirt,L,Red,1128551.38,3.14,2022-11-03,0.15,Rainy,Business Meeting
PROD1986,Shirt,XL,Green,854534.93,4.73,2020-01-16,0.51,Sunny,Vacation
PROD2135,Suit,XXL,Red,2629160.85,3.53,2024-05-05,0.13,Cloudy,Vacation
PROD1049,Jacket,L,Black,1903190.85,4.33,2021-11-15,0.56,Rainy,Vacation
PROD5848,Shirt,M,Black,2264537.36,3.75,2020-10-07,0.86,Snowy,Vacation
PROD1909,Coat,M,Black,2292356.33,4.9,2022-07-14,0.04,Rainy,Casual Hangout
PROD3815,Skirt,M,Blue,1535038.7,4.48,2021-09-09,0.68,Sunny,Business Meeting
PROD3002,Jacket,L,Green,2467951.66,4.09,2020-08-16,0.38,Rainy,Sports Event
PROD2288,Suit,L,Black,2703206.13,4.9,2024-10-25,0.35,Rainy,Business Meeting
PROD1602,Skirt,S,Green,991958.7,3.41,2023-09-01,0.9,Rainy,Casual Hangout
PROD3536,Shirt,S,Black,2863956.64,4.53,2021-10-27,0.25,Sunny,Casual Hangout
PROD5866,Shirt,XL,Black,1063543.45,3.32,2022-09-25,0.55,Cloudy,Wedding
PROD2263,Coat,XL,Green,1503057.92,4.43,2023-10-14,0.72,Rainy,Sports Event
PROD4740,Skirt,S,Yellow,669331.89,4.64,2022-01-09,0.78,Cloudy,Business Meeting
PROD5601,Shirt,XXL,Green,267622.82,3.93,2023-08-15,0.55,Snowy,Vacation
PROD4356,Suit,M,Yellow,1303637.91,3.27,2021-04-29,0.33,Sunny,Business Meeting
PROD2017,Skirt,M,Yellow,1082082.01,3.49,2024-08-09,0.55,Rainy,Sports Event
PROD1245,Skirt,XL,Red,1217656.15,3.44,2023-12-08,0.85,Snowy,Sports Event
PROD4448,Dress,M,Red,192444.58,4.58,2021-03-07,0.31,Snowy,Sports Event
PROD2871,Shirt,M,Blue,1929070.05,3.52,2020-11-26,0.59,Cloudy,Sports Event
PROD5206,Coat,XXL,Green,1838678.45,4.27,2024-11-16,0.18,Cloudy,Wedding
PROD2184,Suit,L,Green,1907314.36,3.37,2024-08-24,0.03,Sunny,Vacation
PROD5722,Skirt,XXL,Blue,2049879.71,3.49,2022-09-23,0.32,Rainy,Casual Hangout
PROD1085,Suit,L,Blue,1545287.66,4.21,2020-05-07,0.48,Rainy,Vacation
PROD5731,Shirt,M,Red,2404849.88,4.52,2021-01-20,0.13,Snowy,Vacation
PROD5588,Jacket,S,Blue,1341467.52,3.63,2020-05-09,0.8,Rainy,Sports Event
PROD4953,Jacket,XXL,Red,2645681.94,3.39,2023-09-11,0.28,Snowy,Sports Event
PROD1741,Coat,XL,Blue,1625896.35,3.56,2022-03-21,0.08,Rainy,Casual Hangout
PROD5231,Shirt,XXL,Blue,1930099.66,4.11,2024-04-10,0.64,Sunny,Business Meeting
PROD1126,Skirt,S,Yellow,278857.94,4.98,2020-08-03,0.85,Rainy,Casual Hangout
PROD2671,Shirt,M,Yellow,2191879.97,4.49,2021-05-07,0.55,Rainy,Business Meeting
PROD1503,Shirt,L,Blue,1683495.45,3.7,2022-08-03,0.06,Snowy,Casual Hangout
PROD3651,Suit,L,Yellow,2107159.91,4.96,2023-11-03,0.15,Cloudy,Business Meeting
PROD2926,Skirt,XXL,Black,2085428.67,3.23,2020-03-13,0.95,Snowy,Vacation
PROD1512,Skirt,XL,White,1672887.37,4.79,2023-12-03,0.74,Snowy,Business Meeting
PROD3997,Coat,XL,Green,165288.48,3.83,2020-12-01,0.17,Snowy,Sports Event
PROD5774,Jacket,L,Yellow,539337.93,3.45,2024-09-09,0.05,Cloudy,Vacation
PROD5364,Dress,XL,Blue,2936036.08,3.62,2022-08-26,0.43,Cloudy,Sports Event
PROD5671,Coat,L,Red,528221.82,3.32,2020-05-10,0.37,Sunny,Sports Event
PROD4186,Skirt,L,Green,2493106.01,4.28,2021-12-25,0.41,Snowy,Sports Event
PROD2958,Jacket,XL,Red,428648.24,4.06,2021-01-18,0.62,Rainy,Vacation
PROD3681,Coat,M,Black,1047109.25,4.68,2024-01-09,0.37,Snowy,Sports Event
PROD5006,Coat,XXL,Blue,814396.62,4.95,2021-12-09,0.17,Snowy,Business Meeting
PROD5175,Jacket,XXL,White,621097.84,4.75,2020-10-30,0.87,Sunny,Wedding
PROD4237,Shirt,XL,Black,1956220.87,4.42,2020-03-01,0.09,Rainy,Casual Hangout
PROD2355,Dress,L,White,799813.59,3.14,2023-01-29,0.61,Snowy,Sports Event
PROD1492,Dress,S,Black,101660.69,4.42,2021-05-30,0.52,Rainy,Casual Hangout
PROD4240,Shirt,L,Yellow,2122492.85,4.83,2020-12-23,0.01,Rainy,Casual Hangout
PROD2800,Coat,XXL,Yellow,2669500.86,4.16,2020-05-03,0.94,Snowy,Vacation
PROD4413,Dress,XL,White,715121.53,4.11,2020-09-02,0.0,Sunny,Business Meeting
PROD2672,Skirt,L,White,1759561.87,3.1,2020-06-07,0.46,Cloudy,Sports Event
PROD2815,Dress,S,White,954294.55,3.19,2022-04-16,0.63,Cloudy,Vacation
PROD2205,Jacket,XXL,Blue,2668521.43,3.69,2023-02-21,0.03,Rainy,Casual Hangout
PROD3879,Dress,M,Red,2284634.02,4.37,2021-10-13,0.83,Rainy,Vacation
PROD3579,Suit,L,Yellow,338962.39,3.1,2020-04-22,0.01,Rainy,Vacation
PROD4242,Dress,S,White,1042628.5,3.71,2023-03-20,0.51,Rainy,Business Meeting
PROD2744,Skirt,S,White,1288096.97,3.24,2022-12-10,0.03,Snowy,Wedding
PROD1782,Skirt,L,Black,2196513.95,3.66,2021-07-09,0.13,Rainy,Casual Hangout
PROD4552,Skirt,M,Yellow,1528972.36,3.96,2023-12-18,0.85,Cloudy,Sports Event
PROD4640,Coat,M,Green,1622916.21,4.38,2020-03-27,0.14,Rainy,Sports Event
PROD3241,Skirt,M,Green,2765467.87,3.67,2024-06-13,0.2,Snowy,Casual Hangout
PROD2974,Suit,XXL,Green,2704321.0,3.96,2023-01-10,0.93,Cloudy,Sports Event
PROD1857,Suit,L,Black,1179829.73,4.52,2022-05-21,0.07,Sunny,Sports Event
PROD4701,Coat,S,Blue,1065521.27,3.72,2022-01-30,0.31,Cloudy,Wedding
PROD2810,Shirt,M,Red,2894069.41,4.86,2021-07-12,0.8,Sunny,Sports Event
PROD3412,Dress,XXL,Red,760119.45,3.44,2020-02-26,0.82,Rainy,Business Meeting
PROD5778,Shirt,L,Green,1537227.91,4.2,2021-03-10,0.39,Snowy,Vacation
PROD5318,Shirt,XXL,Green,149439.23,3.21,2021-02-15,0.62,Rainy,Sports Event
PROD3834,Jacket,L,Red,102940.18,3.95,2022-05-15,0.38,Cloudy,Wedding
PROD3884,Suit,L,Blue,602728.77,3.19,2021-03-02,0.75,Rainy,Wedding
PROD5969,Suit,L,Yellow,1131362.99,4.15,2022-11-22,0.1,Sunny,Vacation
PROD4003,Coat,S,Green,1070007.86,3.99,2024-04-26,0.26,Sunny,Vacation
PROD5595,Suit,L,Black,1526339.1,3.53,2021-02-18,0.35,Rainy,Business Meeting
PROD1128,Jacket,M,White,1652765.72,4.91,2022-10-06,0.47,Cloudy,Business Meeting
PROD1047,Jacket,XL,Blue,2489488.07,4.71,2020-07-29,0.51,Sunny,Casual Hangout
PROD2766,Coat,XXL,Blue,1730398.53,3.55,2021-11-07,0.76,Cloudy,Business Meeting
PROD1745,Coat,L,Red,190988.26,4.59,2023-09-25,0.1,Snowy,Casual Hangout
PROD4905,Coat,S,White,1932480.6,3.93,2022-05-29,0.58,Snowy,Business Meeting
PROD5873,Suit,M,Green,989328.15,3.27,2022-03-21,0.78,Rainy,Vacation
PROD2493,Dress,S,Black,549576.5,3.52,2021-11-07,0.81,Cloudy,Casual Hangout
PROD5514,Dress,S,Yellow,2637150.8,3.26,2022-03-04,0.86,Rainy,Vacation
PROD5349,Jacket,S,Black,2514160.41,4.36,2022-05-30,0.38,Sunny,Casual Hangout
PROD3676,Jacket,S,Red,1745977.16,4.86,2021-02-14,0.37,Snowy,Business Meeting
PROD4704,Dress,L,Blue,2711448.83,4.56,2023-12-31,0.3,Snowy,Wedding
PROD2979,Suit,XL,Red,2499761.5,3.02,2023-08-14,0.14,Rainy,Business Meeting
PROD3754,Coat,XXL,Black,1747426.66,3.23,2024-08-01,0.54,Cloudy,Sports Event
PROD5438,Shirt,S,Yellow,2035118.44,4.35,2020-03-29,0.75,Sunny,Wedding
PROD1325,Dress,M,Yellow,1269199.38,3.25,2023-11-29,0.89,Sunny,Sports Event
PROD2971,Suit,S,Green,1164957.19,4.11,2022-10-05,0.12,Sunny,Wedding
PROD1430,Suit,XXL,Blue,2335650.71,4.18,2024-02-02,0.24,Cloudy,Sports Event
PROD1846,Dress,S,White,238751.26,3.72,2022-01-29,0.52,Snowy,Sports Event
PROD1473,Shirt,L,Green,665130.21,4.78,2021-12-25,0.32,Sunny,Casual Hangout
PROD5490,Skirt,XXL,Black,952880.21,3.97,2023-10-16,0.03,Snowy,Wedding
PROD2545,Jacket,XL,Blue,2160120.61,3.85,2022-04-24,0.96,Snowy,Casual Hangout
PROD1856,Coat,XL,Green,2060365.17,4.35,2024-01-11,0.09,Snowy,Wedding
PROD5034,Suit,XL,White,2164586.39,4.55,2021-08-08,0.02,Snowy,Sports Event
PROD1825,Shirt,XL,Yellow,1101156.38,3.44,2020-12-27,0.09,Sunny,Business Meeting
PROD4414,Jacket,L,Red,1937525.6,3.17,2020-07-01,0.27,Sunny,Business Meeting
PROD3735,Coat,M,Yellow,2161846.11,3.69,2022-07-14,0.51,Snowy,Casual Hangout
PROD4496,Shirt,XXL,Yellow,2631366.69,3.83,2023-08-19,0.01,Snowy,Vacation
PROD4735,Dress,S,Green,364965.04,4.67,2024-03-11,0.02,Sunny,Casual Hangout
PROD3927,Shirt,L,White,332786.74,4.3,2021-06-17,0.24,Rainy,Casual Hangout
PROD1834,Skirt,XL,White,2533877.89,3.82,2020-09-10,0.16,Sunny,Business Meeting
PROD4334,Jacket,M,Green,668282.05,3.14,2020-07-11,0.66,Cloudy,Business Meeting
PROD4223,Shirt,S,White,1972211.61,4.52,2024-11-17,0.86,Rainy,Wedding
PROD5252,Suit,S,Blue,121552.61,3.17,2024-01-14,0.45,Rainy,Casual Hangout
PROD2495,Shirt,XL,Green,1534112.24,4.77,2020-10-02,0.86,Cloudy,Business Meeting
PROD3125,Suit,XXL,Green,1644765.23,4.71,2021-07-20,0.99,Sunny,Wedding
PROD5466,Shirt,L,White,1393643.93,4.06,2024-08-31,0.74,Snowy,Vacation
PROD2611,Skirt,XXL,Blue,242227.35,4.54,2024-07-07,0.19,Rainy,Vacation
PROD5935,Jacket,L,Black,317896.64,4.74,2021-06-12,0.27,Rainy,Sports Event
PROD4817,Coat,XL,White,2664757.13,4.23,2022-05-24,0.22,Snowy,Casual Hangout
PROD1554,Jacket,XL,Blue,2031764.34,3.04,2023-10-15,0.38,Snowy,Sports Event
PROD3484,Jacket,L,Blue,305258.49,4.98,2024-04-13,0.85,Rainy,Sports Event
PROD2273,Shirt,XL,Yellow,1755310.27,3.51,2022-06-18,0.62,Cloudy,Business Meeting
PROD1065,Dress,S,White,2590547.14,3.4,2023-06-28,0.36,Sunny,Wedding
PROD1798,Coat,S,Yellow,2390659.0,4.88,2020-01-25,0.22,Cloudy,Business Meeting
PROD3237,Suit,XL,Yellow,2054882.88,3.09,2020-09-06,0.85,Sunny,Wedding
PROD4793,Shirt,S,Blue,598111.85,3.72,2024-10-31,0.98,Snowy,Wedding
PROD3722,Skirt,L,Red,878820.39,4.28,2020-07-09,0.43,Cloudy,Casual Hangout
PROD2599,Suit,XXL,Black,688899.01,4.84,2022-07-16,0.84,Sunny,Wedding
PROD1457,Jacket,M,Blue,437856.81,3.75,2020-03-12,0.01,Cloudy,Vacation
PROD1006,Dress,XL,Blue,2633097.04,3.43,2024-05-13,0.25,Sunny,Business Meeting
PROD1717,Dress,XL,White,1988977.73,3.34,2021-02-16,0.41,Snowy,Casual Hangout
PROD2027,Jacket,L,Red,2795908.41,3.91,2022-08-08,0.4,Snowy,Sports Event
PROD4867,Skirt,XXL,Red,2960077.37,3.51,2022-04-08,0.13,Snowy,Wedding
PROD1564,Skirt,XXL,Black,1559201.03,3.1,2020-04-29,0.28,Snowy,Casual Hangout
PROD1180,Shirt,L,Red,1924141.41,3.36,2024-05-07,0.45,Snowy,Vacation
PROD3726,Jacket,XL,Red,347385.07,4.3,2021-08-04,0.66,Snowy,Wedding
PROD2696,Suit,XL,Red,742811.7,3.7,2020-01-10,0.7,Rainy,Wedding
PROD4304,Suit,L,Yellow,2464421.37,3.5,2023-11-26,0.32,Sunny,Business Meeting
PROD4234,Jacket,M,Green,1294354.34,3.98,2021-01-07,0.1,Sunny,Business Meeting
PROD4579,Skirt,XXL,Green,966929.04,3.21,2023-07-18,0.89,Cloudy,Vacation
PROD2271,Coat,M,Yellow,1174903.46,4.91,2020-05-28,0.36,Rainy,Vacation
PROD3983,Coat,S,Yellow,764991.52,4.65,2022-11-24,0.02,Sunny,Business Meeting
PROD1752,Coat,L,Blue,2728830.11,3.62,2020-04-28,0.0,Rainy,Business Meeting
PROD1962,Jacket,XXL,Green,2765203.74,4.19,2023-11-04,0.01,Cloudy,Sports Event
PROD3453,Shirt,M,White,2682393.4,4.84,2024-02-17,0.13,Snowy,Wedding
PROD2728,Skirt,L,Black,2217343.43,3.18,2022-08-14,0.35,Snowy,Wedding
PROD1667,Dress,XXL,Green,2354215.91,3.67,2021-12-30,0.12,Rainy,Casual Hangout
PROD5027,Jacket,XL,Red,807849.32,3.16,2021-12-21,0.85,Cloudy,Vacation
PROD1074,Coat,XL,Black,2598620.84,4.83,2022-11-17,0.42,Snowy,Business Meeting
PROD5635,Coat,XXL,Black,1896553.36,4.65,2024-02-03,0.39,Snowy,Sports Event
PROD3179,Coat,L,Black,1089714.53,3.56,2020-10-24,0.66,Sunny,Business Meeting
PROD3224,Skirt,L,White,806761.43,4.8,2021-12-30,0.72,Sunny,Casual Hangout
PROD2608,Dress,L,Black,2241283.92,4.49,2021-01-15,0.82,Sunny,Sports Event
PROD4483,Suit,M,Red,1280366.47,4.61,2020-05-08,0.18,Cloudy,Casual Hangout
PROD4932,Skirt,L,White,2849706.96,4.18,2021-02-19,0.89,Snowy,Vacation
PROD2551,Skirt,M,Green,2691572.12,3.08,2021-01-25,0.14,Snowy,Vacation
PROD3437,Suit,M,White,2644709.84,3.8,2024-07-06,0.28,Cloudy,Wedding
PROD3004,Shirt,XL,Blue,1255207.0,3.48,2021-02-02,0.76,Sunny,Business Meeting
PROD3599,Suit,XXL,White,345896.07,4.09,2023-01-12,0.31,Sunny,Casual Hangout
PROD5920,Dress,S,Blue,2125058.35,3.5,2022-07-01,0.58,Sunny,Business Meeting
PROD1244,Dress,M,Green,2563692.01,4.21,2024-08-17,0.4,Snowy,Wedding
PROD5184,Shirt,XL,White,933422.76,4.26,2021-12-16,0.26,Cloudy,Vacation
PROD2669,Suit,XXL,Red,169089.98,3.29,2021-12-01,0.52,Sunny,Vacation
PROD2743,Skirt,M,White,2398969.52,4.89,2020-10-02,0.08,Sunny,Casual Hangout
PROD4256,Jacket,XL,White,701337.09,3.71,2022-05-09,0.38,Sunny,Vacation
PROD5329,Coat,XXL,Yellow,1074061.48,3.98,2024-10-06,0.62,Cloudy,Wedding
PROD5472,Dress,XXL,Green,2347059.23,4.38,2024-02-07,0.55,Sunny,Business Meeting
PROD4511,Dress,XXL,Black,496830.07,4.34,2024-10-17,0.52,Snowy,Sports Event
PROD4807,Suit,XL,Blue,1030543.82,3.87,2023-07-04,0.03,Sunny,Wedding
PROD3694,Dress,M,White,366709.1,3.13,2022-08-11,0.23,Cloudy,Vacation
PROD3800,Suit,S,Yellow,2646591.72,3.76,2024-09-13,0.87,Snowy,Vacation
PROD2258,Dress,XL,Blue,2978473.96,4.81,2023-09-17,0.22,Rainy,Wedding
PROD1349,Coat,S,Green,1482477.68,4.02,2021-04-30,0.08,Cloudy,Business Meeting
PROD1858,Suit,S,Green,2436554.33,3.29,2023-11-29,0.23,Rainy,Sports Event
PROD2105,Dress,L,Green,1522865.46,3.07,2023-03-18,0.42,Snowy,Casual Hangout
PROD5626,Shirt,XXL,Yellow,114069.49,4.3,2024-07-04,0.12,Snowy,Business Meeting
PROD3406,Suit,XL,White,276980.78,3.79,2023-04-22,0.26,Cloudy,Casual Hangout
PROD2879,Jacket,S,Black,2878114.23,3.55,2020-02-21,0.67,Snowy,Casual Hangout
PROD1334,Skirt,L,Blue,755542.38,3.53,2023-03-15,0.21,Rainy,Vacation
PROD1711,Shirt,S,Red,2166727.94,4.86,2021-12-05,0.87,Cloudy,Vacation
PROD4777,Coat,XL,Green,932369.11,3.56,2024-06-16,1.0,Snowy,Sports Event
PROD5562,Dress,M,Green,2151808.82,3.88,2020-03-09,0.09,Cloudy,Vacation
PROD5198,Skirt,L,White,1126772.91,3.43,2020-07-08,0.06,Cloudy,Business Meeting
PROD4175,Coat,XL,White,2804041.14,3.47,2023-01-18,0.98,Rainy,Wedding
PROD1645,Dress,L,Yellow,2027635.49,3.88,2020-12-16,0.93,Rainy,Business Meeting
PROD2806,Coat,M,Blue,1401642.79,4.38,2021-07-31,0.96,Sunny,Business Meeting
PROD1842,Dress,XL,Blue,570063.48,4.84,2024-01-12,0.03,Rainy,Sports Event
PROD4478,Shirt,S,Black,861903.23,4.98,2021-07-04,0.2,Snowy,Casual Hangout
PROD2230,Shirt,XL,Blue,1639585.61,3.63,2023-04-03,0.89,Sunny,Business Meeting
PROD3638,Dress,M,Red,1940683.78,4.29,2022-01-20,0.65,Cloudy,Vacation
PROD5639,Shirt,M,Red,2276354.72,4.24,2020-09-26,0.46,Cloudy,Wedding
PROD3935,Jacket,L,Blue,2193429.41,4.3,2023-04-29,0.26,Sunny,Vacation
PROD2641,Dress,S,Black,273981.56,4.66,2024-05-30,0.18,Rainy,Business Meeting
PROD3053,Suit,L,Red,1806267.25,4.18,2021-12-29,0.25,Cloudy,Wedding
PROD1887,Jacket,XL,Black,268452.74,4.58,2020-03-29,0.78,Snowy,Vacation
PROD5029,Skirt,XXL,Blue,2506666.26,4.81,2021-01-03,0.05,Cloudy,Casual Hangout
PROD3668,Coat,XXL,Black,2771161.8,4.95,2021-03-20,0.15,Rainy,Casual Hangout
PROD1613,Jacket,L,Blue,2833639.47,4.73,2023-09-19,0.1,Snowy,Casual Hangout
PROD1886,Dress,S,Yellow,2631893.96,3.02,2024-05-16,0.15,Cloudy,Casual Hangout
PROD5264,Skirt,XL,Black,2764714.77,3.5,2021-08-07,0.79,Sunny,Business Meeting
PROD4289,Dress,L,Red,1946069.13,4.74,2020-10-22,0.36,Snowy,Vacation
PROD5216,Coat,XXL,Yellow,1429831.82,3.85,2024-07-31,0.92,Cloudy,Business Meeting
PROD4102,Dress,L,Yellow,909401.77,3.95,2022-04-22,0.57,Cloudy,Sports Event
PROD2305,Dress,XXL,White,2243233.05,4.3,2024-07-23,0.72,Cloudy,Casual Hangout
PROD5686,Skirt,M,Yellow,1218452.45,3.4,2023-07-06,0.43,Snowy,Casual Hangout
PROD2381,Skirt,L,Blue,1018804.47,4.46,2023-03-22,0.63,Cloudy,Business Meeting
PROD4862,Suit,L,Yellow,2906359.82,4.56,2022-05-04,0.93,Cloudy,Vacation
PROD4161,Skirt,XL,Red,164640.42,4.32,2022-09-17,0.71,Cloudy,Business Meeting
PROD4467,Skirt,L,Green,2199814.35,3.77,2023-06-29,0.85,Sunny,Business Meeting
PROD2645,Coat,S,Blue,2268989.63,3.58,2020-02-25,0.45,Sunny,Sports Event
PROD2245,Jacket,XL,Yellow,2901173.65,4.58,2020-03-27,0.68,Rainy,Casual Hangout
PROD4367,Dress,M,White,312875.23,4.3,2024-10-19,0.32,Sunny,Wedding
PROD5839,Skirt,L,Blue,2705964.0,4.13,2021-11-27,0.07,Snowy,Casual Hangout
PROD3609,Coat,XL,Blue,2824806.48,4.06,2020-07-08,0.26,Sunny,Business Meeting
PROD4383,Jacket,XL,Black,159744.26,4.25,2021-12-15,0.57,Snowy,Wedding
PROD3106,Coat,XXL,Green,1041179.9,4.67,2022-12-30,0.54,Cloudy,Business Meeting
PROD4900,Skirt,XL,White,2159411.02,3.76,2023-05-12,0.16,Snowy,Casual Hangout
PROD2661,Skirt,M,Yellow,1738702.62,4.82,2024-08-16,0.98,Sunny,Sports Event
