Customer_ID,Product_ID,Transaction_ID,Age,Gender,Income_Bracket,Location,Engagement_Score,Discount_Sensitivity,Purchase_Date,Order_Value,Payment_Method,Repeat_Purchase_Score,Return_Rate,Session_ID,Time_Spent_Per_Product,Purchase_Probability_Score
CUST1018,PROD5312,TXN618123,24.0,Female,Low Income,Medan,0.82,0.88,2024-07-09 23:56:36,1412239.66,Cash,0.82,0.04,SESSION853450,77.05,0.79
CUST1019,PROD4471,TXN445857,44.0,Other,Low Income,Surabaya,0.73,0.94,2021-07-11 05:43:30,2295131.39,Cash,0.31,0.38,SESSION938079,89.58,0.79
CUST1024,PROD2229,TXN489604,65.0,Male,Low Income,Surabaya,0.25,0.14,2020-09-15 16:22:10,1220826.51,Credit Card,0.02,0.03,SESSION177030,114.75,0.56
CUST1025,PROD5558,TXN356225,40.0,Other,Middle Income,Jakarta,0.59,0.22,2020-07-20 16:37:38,1250574.65,E-Wallet,0.27,0.47,SESSION742373,150.08,0.42
CUST1026,PROD2721,TXN875347,33.0,Female,Low Income,Medan,0.44,0.7,2024-10-05 18:33:51,2083080.96,Cash,0.41,0.35,SESSION837245,282.15,0.67
CUST1026,PROD1534,TXN162511,33.0,Female,Low Income,Medan,0.87,0.13,2022-10-29 08:21:26,793275.88,Cash,0.09,0.27,SESSION951621,30.08,0.88
CUST1027,PROD1560,TXN544894,21.0,Other,Low Income,Bali,0.57,0.58,2021-10-31 15:12:04,2375048.85,Credit Card,0.82,0.35,SESSION153076,66.54,0.95
CUST1028,PROD3238,TXN674134,27.0,Other,Low Income,Medan,0.18,0.27,2023-08-20 18:57:35,2385855.34,Cash,0.92,0.35,SESSION317396,268.94,0.83
CUST1029,PROD2621,TXN239246,51.0,Male,Low Income,Bandung,0.23,0.63,2024-02-08 17:10:15,2967705.13,Credit Card,0.53,0.47,SESSION196255,267.62,0.86
CUST1029,PROD1914,TXN543737,51.0,Male,Low Income,Bandung,0.14,0.18,2023-05-14 06:07:00,1464100.09,Cash,0.68,0.2,SESSION292965,288.55,0.78
CUST1030,PROD4628,TXN926133,37.0,Other,Middle Income,Medan,1.0,0.32,2021-02-09 04:08:25,1682625.13,E-Wallet,0.98,0.26,SESSION352395,153.79,0.63
CUST1032,PROD1042,TXN760032,22.0,Other,High Income,Bandung,0.62,0.98,2023-10-12 16:40:51,1097684.11,Credit Card,0.8,0.31,SESSION360444,148.13,0.65
CUST1033,PROD5196,TXN294102,54.0,Female,Low Income,Jakarta,0.88,0.31,2020-04-27 01:18:58,719749.33,E-Wallet,0.04,0.25,SESSION354593,63.92,0.22
CUST1036,PROD3400,TXN959474,40.0,Female,Middle Income,Bandung,0.22,0.72,2021-09-03 19:00:03,582989.54,Credit Card,0.01,0.37,SESSION106865,154.08,0.84
CUST1037,PROD2202,TXN262165,23.0,Male,Middle Income,Medan,0.86,0.27,2024-03-26 22:51:54,223227.65,Credit Card,0.28,0.22,SESSION967165,25.45,0.84
CUST1038,PROD4009,TXN170797,53.0,Other,High Income,Bandung,0.61,0.31,2021-07-22 08:48:58,1763058.52,E-Wallet,0.88,0.45,SESSION280182,292.37,0.25
CUST1040,PROD1142,TXN741824,53.0,Male,Low Income,Bali,0.85,0.1,2024-01-21 08:03:04,2508725.45,E-Wallet,0.16,0.27,SESSION423055,229.65,0.14
CUST1041,PROD5327,TXN986598,28.0,Female,Middle Income,Medan,0.21,0.87,2020-09-10 23:30:49,1427582.88,Credit Card,0.56,0.21,SESSION297159,190.52,0.11
CUST1042,PROD2049,TXN105542,39.0,Other,Low Income,Bali,0.72,0.97,2024-02-01 11:18:39,2925680.62,E-Wallet,0.18,0.0,SESSION271698,63.77,0.28
CUST1044,PROD2861,TXN830506,39.0,Female,Low Income,Jakarta,0.41,0.85,2023-04-03 11:40:23,1429153.72,Credit Card,0.91,0.02,SESSION671048,257.41,0.71
CUST1045,PROD3158,TXN658138,61.0,Female,High Income,Surabaya,0.59,0.12,2020-12-30 01:11:34,1008621.78,Cash,0.81,0.03,SESSION383559,290.88,0.88
CUST1049,PROD5746,TXN552872,43.0,Male,Middle Income,Jakarta,0.23,0.21,2024-05-26 13:53:20,540338.93,Cash,0.83,0.15,SESSION787664,83.81,0.55
CUST1050,PROD5509,TXN834946,43.0,Other,Low Income,Medan,0.47,0.9,2020-05-31 12:55:48,892151.63,Credit Card,0.98,0.39,SESSION796413,235.61,0.24
CUST1050,PROD3289,TXN495097,43.0,Other,Low Income,Medan,0.67,0.71,2022-03-16 14:40:01,2909702.48,Credit Card,0.53,0.49,SESSION855291,233.78,0.87
CUST1057,PROD1322,TXN642313,22.0,Other,High Income,Bandung,0.81,0.34,2022-12-19 09:29:12,1419224.49,Cash,0.31,0.09,SESSION692192,42.62,0.9
CUST1057,PROD1834,TXN665300,22.0,Other,High Income,Bandung,0.8,0.25,2024-06-18 09:01:25,827286.9,Cash,0.29,0.01,SESSION844689,47.32,0.72
CUST1059,PROD5904,TXN675823,33.0,Other,High Income,Medan,0.78,0.17,2022-04-19 07:28:44,2559499.31,Cash,0.18,0.11,SESSION751704,85.82,0.66
CUST1060,PROD2822,TXN438150,33.0,Male,High Income,Jakarta,0.36,0.18,2020-09-25 22:20:58,728845.07,E-Wallet,0.51,0.05,SESSION404195,219.39,0.44
CUST1062,PROD2899,TXN864065,42.0,Male,Middle Income,Surabaya,0.89,0.21,2021-04-27 17:55:07,213656.93,E-Wallet,0.07,0.47,SESSION181125,161.99,0.91
CUST1067,PROD4665,TXN157097,44.0,Female,Low Income,Bali,0.45,0.46,2021-02-01 23:48:08,426884.31,Credit Card,0.84,0.42,SESSION563889,79.55,0.5
CUST1067,PROD3897,TXN607036,44.0,Female,Low Income,Bali,0.85,0.21,2021-07-08 01:43:11,1167536.95,E-Wallet,0.41,0.27,SESSION264087,163.87,0.31
CUST1078,PROD4234,TXN754424,65.0,Other,High Income,Bandung,0.94,0.41,2023-08-21 14:36:13,1052130.02,E-Wallet,0.15,0.15,SESSION784486,118.31,0.0
CUST1080,PROD5118,TXN475951,22.0,Other,Middle Income,Jakarta,0.8,0.91,2024-03-30 08:19:28,2559084.7,Credit Card,0.1,0.09,SESSION514660,273.85,0.98
CUST1080,PROD2843,TXN368422,22.0,Other,Middle Income,Jakarta,0.18,0.41,2020-08-18 14:07:55,1058235.8,Credit Card,0.38,0.04,SESSION962721,262.15,0.24
CUST1081,PROD1720,TXN418910,56.0,Other,Low Income,Bali,0.71,0.32,2020-02-29 15:25:27,367521.46,E-Wallet,0.92,0.09,SESSION885962,148.73,0.08
CUST1087,PROD4084,TXN303028,50.0,Other,Low Income,Bandung,0.93,0.77,2021-03-26 20:11:14,1774453.88,Cash,0.22,0.07,SESSION496371,89.68,0.15
CUST1087,PROD1576,TXN925333,50.0,Other,Low Income,Bandung,0.74,0.29,2021-12-18 04:54:14,882231.07,E-Wallet,0.4,0.09,SESSION633346,241.95,0.53
CUST1087,PROD1124,TXN183515,50.0,Other,Low Income,Bandung,0.43,0.11,2023-06-28 22:43:31,2684217.54,Credit Card,0.47,0.07,SESSION624151,87.61,0.84
CUST1088,PROD3467,TXN883735,34.0,Male,Middle Income,Medan,0.28,0.58,2021-01-29 20:37:04,611227.22,E-Wallet,0.28,0.4,SESSION238648,116.11,0.5
CUST1090,PROD1657,TXN759334,23.0,Female,High Income,Medan,0.6,0.46,2023-10-15 08:39:02,2981724.5,Credit Card,0.04,0.11,SESSION311272,65.28,0.83
CUST1092,PROD4129,TXN194449,41.0,Female,Low Income,Bali,0.88,0.2,2024-01-08 20:42:59,962165.06,E-Wallet,0.93,0.33,SESSION904077,47.13,0.31
CUST1092,PROD2151,TXN114442,41.0,Female,Low Income,Bali,0.15,0.42,2020-12-30 05:51:35,1506017.53,Credit Card,0.49,0.11,SESSION906800,148.5,0.09
CUST1095,PROD1823,TXN140818,29.0,Male,Low Income,Jakarta,0.75,0.97,2023-12-20 22:09:06,1020792.14,Cash,0.26,0.41,SESSION348549,43.51,0.38
CUST1096,PROD2497,TXN182786,56.0,Male,High Income,Bandung,0.19,0.76,2024-09-25 09:36:22,432758.43,Cash,0.97,0.28,SESSION357802,9.07,0.1
CUST1097,PROD2528,TXN898655,52.0,Other,Middle Income,Surabaya,0.98,0.17,2021-04-05 13:43:10,416741.51,E-Wallet,0.3,0.39,SESSION265135,170.97,0.62
CUST1099,PROD3539,TXN234000,48.0,Male,Middle Income,Bali,0.37,0.35,2021-10-01 17:29:52,1353460.43,E-Wallet,0.19,0.28,SESSION339347,119.51,0.39
CUST1102,PROD3901,TXN318770,51.0,Male,Middle Income,Bandung,0.54,0.78,2024-05-14 00:09:30,2719095.22,Credit Card,0.56,0.05,SESSION695478,79.8,0.39
CUST1102,PROD5628,TXN140933,51.0,Male,Middle Income,Bandung,0.63,0.92,2020-07-05 16:15:18,1407365.0,Cash,0.63,0.21,SESSION748787,167.93,0.5
CUST1102,PROD1485,TXN335103,51.0,Male,Middle Income,Bandung,0.39,0.83,2024-03-01 14:09:55,1165653.43,Cash,0.54,0.37,SESSION597627,48.91,0.22
CUST1104,PROD4782,TXN382241,22.0,Other,High Income,Surabaya,0.84,0.93,2021-07-15 06:04:33,450446.8,Credit Card,0.81,0.11,SESSION564346,71.11,0.57
CUST1105,PROD1694,TXN494533,47.0,Male,Low Income,Bandung,0.89,0.42,2023-11-30 01:27:18,830719.68,Credit Card,0.07,0.45,SESSION707190,133.2,0.72
CUST1105,PROD4344,TXN834775,47.0,Male,Low Income,Bandung,0.27,0.87,2021-01-25 17:07:28,2386935.93,Credit Card,0.66,0.03,SESSION757117,12.94,0.75
CUST1107,PROD4700,TXN446031,20.0,Other,Middle Income,Jakarta,0.31,0.55,2022-10-15 03:34:29,1937090.8,E-Wallet,0.6,0.1,SESSION255066,24.2,0.14
CUST1108,PROD2650,TXN930419,49.0,Female,High Income,Jakarta,0.37,0.17,2020-06-28 10:18:03,588696.16,Credit Card,0.69,0.27,SESSION546190,79.89,0.53
CUST1111,PROD2208,TXN161081,63.0,Other,Middle Income,Surabaya,0.42,0.86,2021-09-24 07:03:26,675126.65,E-Wallet,0.14,0.42,SESSION584424,175.07,0.79
CUST1111,PROD1102,TXN874468,63.0,Other,Middle Income,Surabaya,0.36,0.54,2020-04-26 01:11:07,968770.47,E-Wallet,0.08,0.11,SESSION453792,75.94,0.3
CUST1112,PROD4641,TXN729266,51.0,Other,Low Income,Bali,0.49,0.52,2021-11-06 06:11:10,1753164.78,Credit Card,0.31,0.2,SESSION736783,91.84,0.51
CUST1115,PROD1484,TXN148455,38.0,Female,Low Income,Jakarta,0.27,0.63,2021-07-01 15:01:15,1669916.74,E-Wallet,0.73,0.16,SESSION625750,250.83,0.51
CUST1116,PROD5097,TXN985896,25.0,Female,High Income,Jakarta,0.52,0.94,2023-09-05 19:22:22,1480487.03,Cash,0.11,0.01,SESSION903501,23.88,0.45
CUST1117,PROD3360,TXN188799,28.0,Male,High Income,Surabaya,0.61,0.45,2021-04-14 06:38:22,336408.45,Credit Card,0.97,0.17,SESSION928093,210.77,0.5
CUST1121,PROD5478,TXN479786,58.0,Male,Low Income,Surabaya,0.49,1.0,2021-02-11 03:31:11,737924.65,Credit Card,0.64,0.05,SESSION149011,284.69,0.38
CUST1122,PROD4723,TXN632795,21.0,Male,High Income,Surabaya,0.79,0.69,2022-06-22 11:30:24,191809.43,Credit Card,0.16,0.34,SESSION729721,241.87,0.98
CUST1123,PROD4094,TXN405008,36.0,Other,Middle Income,Medan,0.66,0.64,2023-06-24 05:39:03,2467089.71,E-Wallet,0.94,0.4,SESSION151357,200.64,0.97
CUST1124,PROD5488,TXN538470,59.0,Male,High Income,Surabaya,0.88,0.91,2023-07-27 08:56:41,1136926.94,E-Wallet,0.48,0.47,SESSION795439,186.19,0.4
CUST1128,PROD4104,TXN465967,31.0,Other,Low Income,Medan,0.93,0.9,2024-08-29 21:28:17,2377729.31,Credit Card,0.34,0.03,SESSION353927,287.46,0.97
CUST1131,PROD2052,TXN891384,48.0,Male,Low Income,Medan,0.87,0.57,2020-08-31 08:20:44,1846874.41,E-Wallet,0.86,0.15,SESSION599475,230.71,0.94
CUST1133,PROD3923,TXN677989,60.0,Male,High Income,Bali,0.24,0.63,2022-09-03 00:01:10,826062.06,E-Wallet,0.06,0.34,SESSION161501,138.45,0.63
CUST1138,PROD4972,TXN921729,26.0,Female,High Income,Bandung,0.84,0.19,2021-12-15 13:32:33,455919.35,Cash,0.61,0.37,SESSION175166,131.7,0.05
CUST1141,PROD3329,TXN726474,38.0,Female,Middle Income,Medan,0.77,0.72,2024-04-06 02:55:55,571828.12,E-Wallet,0.53,0.26,SESSION520331,249.97,0.14
CUST1141,PROD1261,TXN753695,38.0,Female,Middle Income,Medan,0.64,0.63,2023-10-06 22:12:07,2643092.43,Cash,0.7,0.39,SESSION854296,235.24,0.55
CUST1141,PROD1350,TXN683789,38.0,Female,Middle Income,Medan,0.56,0.71,2022-08-25 13:59:54,2855737.11,Credit Card,0.42,0.24,SESSION945275,274.53,0.04
CUST1143,PROD1633,TXN461891,18.0,Female,Low Income,Surabaya,0.68,0.15,2020-03-12 02:14:48,2872037.06,E-Wallet,0.3,0.19,SESSION992604,182.1,0.23
CUST1147,PROD2348,TXN755458,23.0,Female,High Income,Bandung,0.79,0.1,2023-09-04 02:53:45,363408.65,Cash,0.52,0.46,SESSION307154,132.4,0.52
CUST1149,PROD5073,TXN345340,59.0,Female,Middle Income,Bandung,0.54,0.25,2022-05-24 23:24:57,936712.44,Cash,0.49,0.45,SESSION436466,173.65,0.61
CUST1152,PROD5320,TXN637566,23.0,Other,Middle Income,Jakarta,0.49,0.24,2022-03-04 14:53:39,2998515.19,Credit Card,0.92,0.39,SESSION385705,265.89,0.7
CUST1153,PROD5503,TXN439381,55.0,Other,Middle Income,Bandung,0.99,0.23,2020-05-02 13:49:51,116513.37,E-Wallet,0.16,0.05,SESSION300879,57.59,0.13
CUST1154,PROD1520,TXN662167,58.0,Female,Low Income,Surabaya,0.24,0.44,2023-01-18 08:23:01,544750.19,Credit Card,0.15,0.0,SESSION836656,134.05,1.0
CUST1160,PROD5542,TXN555739,40.0,Female,Low Income,Medan,0.27,0.49,2023-01-29 12:53:54,636496.85,E-Wallet,0.38,0.12,SESSION374067,175.38,0.86
CUST1160,PROD4469,TXN890452,40.0,Female,Low Income,Medan,0.4,0.37,2022-11-15 01:30:30,2327208.21,Cash,0.57,0.3,SESSION641398,27.55,0.75
CUST1161,PROD2228,TXN619492,26.0,Other,Low Income,Jakarta,0.74,0.85,2024-05-21 14:39:54,1811101.9,Cash,0.91,0.29,SESSION549402,141.65,0.53
CUST1163,PROD5275,TXN882020,62.0,Male,Low Income,Bandung,0.84,0.24,2021-11-03 09:23:17,744527.74,E-Wallet,0.21,0.01,SESSION209705,107.29,0.54
CUST1164,PROD3084,TXN172542,33.0,Female,Low Income,Surabaya,0.24,1.0,2024-06-28 01:32:49,253906.06,Credit Card,0.55,0.05,SESSION966758,36.78,0.3
CUST1165,PROD2915,TXN184827,38.0,Female,Middle Income,Bandung,0.84,0.5,2020-11-02 19:44:53,1881500.95,Cash,0.96,0.22,SESSION699701,28.36,0.79
CUST1166,PROD1221,TXN139265,61.0,Male,High Income,Jakarta,0.75,0.34,2022-04-07 06:41:24,573841.3,E-Wallet,0.82,0.29,SESSION938451,277.58,0.26
CUST1166,PROD1718,TXN614731,61.0,Male,High Income,Jakarta,0.46,0.19,2020-03-06 05:23:56,1155836.47,Credit Card,0.17,0.46,SESSION713905,43.01,0.89
CUST1167,PROD5442,TXN956884,29.0,Male,Middle Income,Medan,0.74,0.35,2022-09-05 09:00:11,129007.77,Cash,0.37,0.45,SESSION488680,97.54,0.94
CUST1168,PROD5865,TXN665130,40.0,Other,Low Income,Medan,0.56,0.23,2023-04-16 09:20:55,1465559.21,Cash,0.64,0.26,SESSION173009,232.12,0.1
CUST1169,PROD3213,TXN470572,58.0,Other,High Income,Bali,0.76,0.16,2022-04-21 17:35:00,1929571.93,Credit Card,0.21,0.36,SESSION398280,6.48,0.64
CUST1170,PROD2945,TXN192194,39.0,Other,High Income,Jakarta,0.36,0.55,2023-06-15 04:38:53,929725.45,E-Wallet,0.45,0.4,SESSION260606,242.68,0.58
CUST1176,PROD3310,TXN575165,32.0,Female,Middle Income,Bandung,0.79,0.64,2021-09-09 06:47:41,2062873.31,Cash,0.56,0.47,SESSION858914,125.44,0.05
CUST1177,PROD3738,TXN209838,43.0,Other,High Income,Medan,0.7,0.41,2024-03-28 10:55:35,1212032.72,E-Wallet,0.65,0.47,SESSION144873,32.42,0.83
CUST1179,PROD3230,TXN555735,55.0,Male,Middle Income,Jakarta,0.27,0.84,2020-06-28 20:00:05,1317528.86,E-Wallet,0.56,0.46,SESSION992038,244.63,0.17
CUST1179,PROD1697,TXN506630,55.0,Male,Middle Income,Jakarta,0.53,0.57,2021-06-23 21:01:35,2466325.1,Cash,0.32,0.42,SESSION450754,236.72,0.66
CUST1180,PROD3336,TXN405684,34.0,Male,Middle Income,Medan,0.54,0.57,2023-05-25 16:58:22,121243.45,Cash,0.98,0.21,SESSION297425,117.55,0.47
CUST1180,PROD5540,TXN806784,34.0,Male,Middle Income,Medan,0.48,0.85,2020-03-13 06:39:59,2724221.48,E-Wallet,0.19,0.16,SESSION965825,37.3,0.77
CUST1181,PROD3458,TXN545452,64.0,Male,High Income,Jakarta,0.52,0.23,2021-07-31 00:25:49,2455391.49,Cash,0.76,0.33,SESSION448389,219.88,0.7
CUST1183,PROD1928,TXN944246,27.0,Other,Middle Income,Surabaya,0.48,0.13,2023-03-24 06:24:02,774771.48,Cash,0.68,0.23,SESSION240485,105.27,0.22
CUST1183,PROD3588,TXN218282,27.0,Other,Middle Income,Surabaya,0.71,0.72,2024-08-12 03:47:12,2997301.39,Cash,0.44,0.4,SESSION982954,226.4,0.3
CUST1184,PROD2720,TXN968514,37.0,Other,Middle Income,Surabaya,0.63,0.47,2020-07-31 13:09:50,748292.24,Cash,0.08,0.23,SESSION550244,237.27,0.14
CUST1184,PROD2943,TXN223006,37.0,Other,Middle Income,Surabaya,0.61,0.89,2023-04-01 15:17:58,2835990.37,Credit Card,0.11,0.26,SESSION630626,77.73,0.96
CUST1188,PROD3239,TXN850439,35.0,Male,Low Income,Jakarta,0.36,0.34,2021-12-08 05:46:41,1537679.09,Cash,0.59,0.04,SESSION490556,221.02,0.14
CUST1189,PROD5393,TXN493562,37.0,Other,Middle Income,Surabaya,0.11,0.1,2022-06-17 17:36:11,2033122.51,Credit Card,0.62,0.1,SESSION103627,224.0,0.27
CUST1191,PROD5010,TXN365463,38.0,Other,High Income,Jakarta,0.78,0.73,2023-05-31 19:14:09,463699.58,Cash,0.75,0.26,SESSION385760,204.31,0.48
CUST1192,PROD5215,TXN824237,36.0,Other,Low Income,Bandung,0.91,0.39,2023-02-04 01:25:42,2807182.52,E-Wallet,0.97,0.05,SESSION505047,130.77,0.5
CUST1192,PROD2119,TXN445128,36.0,Other,Low Income,Bandung,0.47,0.97,2021-02-15 08:19:25,1941329.88,E-Wallet,0.6,0.2,SESSION533911,234.96,0.17
CUST1192,PROD2658,TXN954254,36.0,Other,Low Income,Bandung,0.96,0.29,2023-01-23 13:59:13,763779.39,E-Wallet,0.71,0.38,SESSION197341,228.67,0.4
CUST1195,PROD3016,TXN613399,49.0,Other,High Income,Surabaya,0.1,0.85,2024-05-10 00:16:33,1848381.49,Cash,0.01,0.1,SESSION504971,204.5,0.11
CUST1198,PROD3231,TXN484900,42.0,Male,Middle Income,Medan,0.62,0.22,2021-09-19 01:11:27,2033068.12,E-Wallet,0.53,0.33,SESSION863972,171.63,0.26
CUST1199,PROD1141,TXN133064,19.0,Other,Low Income,Bandung,0.36,0.46,2020-05-22 20:22:34,2390884.21,Credit Card,0.85,0.08,SESSION453992,77.9,0.38
CUST1199,PROD4552,TXN975917,19.0,Other,Low Income,Bandung,0.24,0.29,2022-12-03 04:33:42,2284881.41,E-Wallet,0.47,0.24,SESSION945090,170.45,0.53
CUST1200,PROD3747,TXN911300,26.0,Female,Low Income,Jakarta,0.94,0.68,2020-04-15 07:13:53,802093.59,Cash,0.27,0.25,SESSION946506,182.71,0.78
CUST1206,PROD3683,TXN726827,61.0,Other,High Income,Medan,0.57,0.77,2024-07-01 19:49:15,670489.33,Credit Card,0.51,0.19,SESSION514899,202.57,0.12
CUST1211,PROD5463,TXN875391,65.0,Other,Middle Income,Bali,0.3,0.37,2022-05-23 21:11:39,794275.31,Credit Card,0.58,0.2,SESSION698115,193.72,0.54
CUST1211,PROD3078,TXN314919,65.0,Other,Middle Income,Bali,0.4,0.84,2024-05-30 16:39:12,2124441.26,Cash,0.5,0.32,SESSION653762,156.69,0.9
CUST1214,PROD5780,TXN846388,19.0,Female,Middle Income,Medan,0.97,0.2,2023-11-30 15:19:41,525296.33,Credit Card,0.08,0.42,SESSION881277,165.51,0.73
CUST1214,PROD3952,TXN362009,19.0,Female,Middle Income,Medan,0.88,0.24,2020-12-22 06:07:59,1588264.22,Credit Card,0.16,0.34,SESSION640119,257.46,0.82
CUST1215,PROD2068,TXN632371,28.0,Other,High Income,Bali,0.83,0.47,2023-05-18 18:30:34,619280.3,Credit Card,0.15,0.46,SESSION820624,219.21,0.83
CUST1218,PROD4288,TXN698224,49.0,Female,Low Income,Surabaya,0.27,0.44,2020-08-22 23:10:55,2657951.78,Cash,0.42,0.05,SESSION365794,201.52,0.12
CUST1224,PROD3014,TXN338933,56.0,Other,Middle Income,Jakarta,0.57,0.39,2020-08-12 14:07:03,1007368.71,Cash,0.93,0.04,SESSION299867,122.69,0.53
CUST1226,PROD3627,TXN582570,35.0,Female,Low Income,Jakarta,0.16,0.58,2021-01-26 00:19:13,2199992.3,E-Wallet,0.14,0.42,SESSION644812,162.4,0.32
CUST1228,PROD5170,TXN235514,26.0,Other,Middle Income,Bali,0.54,0.69,2022-05-11 09:41:21,2780240.66,E-Wallet,0.43,0.05,SESSION491636,198.46,0.08
CUST1229,PROD1933,TXN439188,42.0,Female,Middle Income,Bandung,0.13,0.65,2020-10-07 14:54:56,2283616.63,Cash,0.92,0.37,SESSION220550,123.44,0.44
CUST1229,PROD5012,TXN190581,42.0,Female,Middle Income,Bandung,0.3,0.52,2024-08-08 23:47:57,2521605.37,E-Wallet,0.14,0.02,SESSION299890,102.22,0.94
CUST1231,PROD5821,TXN117411,18.0,Other,Low Income,Bali,0.28,0.18,2023-06-11 19:11:23,1750123.68,E-Wallet,0.14,0.27,SESSION539211,200.68,0.12
CUST1231,PROD5415,TXN671732,18.0,Other,Low Income,Bali,0.51,0.68,2024-09-27 16:56:32,1130908.82,E-Wallet,0.28,0.14,SESSION327655,284.56,0.2
CUST1240,PROD3522,TXN440440,22.0,Male,Middle Income,Jakarta,0.91,0.54,2022-10-01 21:47:05,2213153.42,Cash,0.08,0.22,SESSION406660,233.07,0.93
CUST1240,PROD3237,TXN158688,22.0,Male,Middle Income,Jakarta,0.54,0.26,2023-01-25 19:09:15,1795863.23,Cash,0.82,0.11,SESSION174635,46.85,0.93
CUST1241,PROD1944,TXN780617,42.0,Male,Middle Income,Bali,0.95,0.39,2023-04-30 08:24:22,360087.84,E-Wallet,0.58,0.08,SESSION710972,20.18,0.57
CUST1244,PROD2312,TXN847110,32.0,Male,Low Income,Medan,0.31,0.94,2020-02-05 09:14:01,188372.1,E-Wallet,0.28,0.37,SESSION745690,156.27,0.33
CUST1244,PROD2322,TXN378518,32.0,Male,Low Income,Medan,0.99,0.83,2024-07-17 17:40:48,2109455.0,Cash,0.93,0.35,SESSION750456,149.34,0.89
CUST1247,PROD1974,TXN206686,26.0,Female,Middle Income,Jakarta,0.65,0.67,2020-12-18 22:58:36,564300.14,E-Wallet,0.67,0.4,SESSION653053,295.83,0.41
CUST1250,PROD1094,TXN192596,61.0,Other,High Income,Surabaya,0.99,0.27,2021-02-11 02:03:27,1561250.75,Credit Card,0.7,0.32,SESSION401333,166.42,0.34
CUST1251,PROD4932,TXN645704,37.0,Male,Middle Income,Medan,0.57,0.18,2021-09-01 04:20:46,2830718.1,Credit Card,0.85,0.03,SESSION313099,180.44,0.71
CUST1251,PROD2505,TXN502541,37.0,Male,Middle Income,Medan,0.11,0.31,2021-12-24 03:06:44,1459546.86,E-Wallet,0.61,0.13,SESSION776304,274.42,0.57
CUST1252,PROD4691,TXN318383,21.0,Male,Low Income,Bandung,0.53,0.65,2021-12-07 22:34:09,1002375.24,E-Wallet,0.54,0.01,SESSION387109,252.95,0.16
CUST1252,PROD1098,TXN751467,21.0,Male,Low Income,Bandung,0.97,0.78,2024-04-05 01:38:56,2342480.21,Credit Card,0.79,0.4,SESSION522839,215.1,0.13
